id,event_id,action,created_at,event_name
441,Chick Magnet & Nostaljazz & Slippery When Wet,open_event_card,2026-01-09 02:01:54.884393+00,
442,Chick Magnet & Nostaljazz & Slippery When Wet,show_price,2026-01-09 02:02:18.030799+00,
443,Lotus **FRIDAY 1/16**,open_event_card,2026-01-09 02:02:47.47235+00,
444,Lotus **FRIDAY 1/16**,show_price,2026-01-09 02:02:51.111427+00,
445,Kitchen Dwellers w/ Jammy Buffet **THURSDAY 1/22**,open_event_card,2026-01-09 02:03:14.629218+00,
446,Kitchen Dwellers w/ Jammy Buffet **THURSDAY 1/22**,show_price,2026-01-09 02:03:17.184903+00,
447,Jimkata w/ Barbara,open_event_card,2026-01-09 02:03:21.885461+00,
448,Jimkata w/ Barbara,show_price,2026-01-09 02:03:23.156118+00,
449,Jimkata w/ Barbara,external_link_click,2026-01-09 02:03:24.92889+00,
450,Lotus **FRIDAY 1/16**,open_event_card,2026-01-09 02:05:26.340469+00,
451,Lotus **FRIDAY 1/16**,show_price,2026-01-09 02:05:27.96292+00,
452,Kitchen Dwellers w/ Jammy Buffet **THURSDAY 1/22**,open_event_card,2026-01-09 02:05:31.839978+00,
453,Kitchen Dwellers w/ Jammy Buffet **THURSDAY 1/22**,show_price,2026-01-09 02:05:36.004711+00,
454,"SHIFT Ft. Blookah w/ Philia, Jawnsin, Gibbs",open_event_card,2026-01-09 03:18:16.104579+00,
455,Chmura & Duffrey AT OGDEN THEATRE,open_event_card,2026-01-09 03:18:18.888938+00,
456,"Zach Nugent’s Dead Set w/ Lucas Parker Band, The Buzz",open_event_card,2026-01-09 03:18:20.8888+00,
